streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
195,loss,3,2025-09-19 16:00:00+00:00,2025-09-19 16:00:00+00:00,-3.0,-90.0,EURUSD_22876_SHORT_4883,EURUSD_22876_SHORT_4883
196,win,1,2025-09-23 10:15:00+00:00,2025-09-23 10:15:00+00:00,3.0,90.0,EURUSD_23045_SHORT_4916,EURUSD_23045_SHORT_4916
197,loss,2,2025-09-23 11:30:00+00:00,2025-09-23 11:45:00+00:00,-2.0,-60.0,EURUSD_23045_SHORT_4916,EURUSD_23045_SHORT_4916
198,win,19,2025-09-24 18:45:00+00:00,2025-09-30 10:15:00+00:00,45.92683086027939,1377.8049258083815,XAUUSD_24013_SHORT_4981,EURUSD_23521_LONG_5001
199,loss,1,2025-09-30 10:30:00+00:00,2025-09-30 10:30:00+00:00,-1.0,-30.0,EURUSD_23526_LONG_5002,EURUSD_23526_LONG_5002
200,win,2,2025-09-30 11:15:00+00:00,2025-09-30 11:30:00+00:00,6.0,180.0,EURUSD_23521_LONG_5001,EURUSD_23521_LONG_5001
201,loss,2,2025-09-30 14:00:00+00:00,2025-09-30 14:00:00+00:00,-1.180432645034542,-35.412979351036256,EURUSD_23526_LONG_5002,EURUSD_23526_LONG_5002
202,win,9,2025-10-01 17:45:00+00:00,2025-10-02 13:45:00+00:00,14.836429641013583,445.0928892304075,XAUUSD_24484_SHORT_5091,EURUSD_23717_LONG_5051
203,loss,12,2025-10-02 15:15:00+00:00,2025-10-03 17:00:00+00:00,-12.0,-360.0,XAUUSD_24576_LONG_5104,XAUUSD_24676_LONG_5125
204,win,9,2025-10-07 10:00:00+00:00,2025-10-07 13:45:00+00:00,23.215151079788434,696.4545323936529,GBPUSD_24005_SHORT_4913,GBPUSD_24005_SHORT_4913
205,loss,5,2025-10-09 12:00:00+00:00,2025-10-09 17:45:00+00:00,-5.0,-150.0,EURUSD_24199_SHORT_5164,XAUUSD_25047_SHORT_5208
206,win,4,2025-10-09 20:15:00+00:00,2025-10-09 22:00:00+00:00,5.999806088811379,179.9941826643414,XAUUSD_25047_SHORT_5208,EURUSD_24230_SHORT_5168
207,loss,18,2025-10-09 23:00:00+00:00,2025-10-14 17:00:00+00:00,-15.449578610868649,-463.4873583260595,GBPUSD_24234_SHORT_4985,XAUUSD_25290_SHORT_5265
208,win,6,2025-10-17 19:30:00+00:00,2025-10-21 12:00:00+00:00,13.732255194764086,411.96765584292257,XAUUSD_25590_SHORT_5324,EURUSD_24951_SHORT_5304
209,loss,15,2025-10-21 19:30:00+00:00,2025-10-24 09:45:00+00:00,-12.05193861251901,-361.5581583755703,GBPUSD_25001_LONG_5146,EURUSD_25245_SHORT_5365
210,win,3,2025-10-24 20:45:00+00:00,2025-10-24 20:45:00+00:00,0.3222794591113275,9.668383773339826,XAUUSD_26056_LONG_5421,XAUUSD_26056_LONG_5421
211,loss,1,2025-10-28 19:30:00+00:00,2025-10-28 19:30:00+00:00,-1.0,-30.0,XAUUSD_26250_LONG_5470,XAUUSD_26250_LONG_5470
212,win,3,2025-10-28 20:45:00+00:00,2025-10-28 20:45:00+00:00,3.967380621233155,119.02141863699464,XAUUSD_26240_LONG_5467,XAUUSD_26240_LONG_5467
