experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability
D,XAUUSD_25590_SHORT_5324,XAUUSD,SHORT,2025-10-17 14:45:00+00:00,2025-10-17 16:45:00+00:00,2025-10-17 20:45:00+00:00,25598,2.0,0.8709039672080181,1.170966512041698,35.128995361250944,16,overlap,bos,internal,none,8,7,-1.0,7,-2.5269746457393194,3.298722755290117,-3.381012899536097,0.7050263709728832,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.603141264432065
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,1.0,0.8929546894398003,0.14874436574368965,4.462330972310689,16,overlap,bos,internal,none,2,1,0.45893141945773697,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,1.5,0.8929546894398003,0.0991629104957931,2.9748873148737927,16,overlap,bos,internal,none,2,1,0.45893141945773697,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,2.0,0.8929546894398003,0.07437218287184483,2.2311654861553447,16,overlap,bos,internal,none,2,1,0.45893141945773697,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446
D,XAUUSD_26240_LONG_5467,XAUUSD,LONG,2025-10-28 16:15:00+00:00,2025-10-28 16:45:00+00:00,2025-10-28 20:45:00+00:00,26242,1.0,0.87961020945998,1.831098748261456,54.93296244784368,16,overlap,bos,internal,none,2,1,0.4762684124386269,2,-13.225034770514618,-2.5414186369958363,0.3909874826147413,4.073435326842851,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.6292250199382449
D,XAUUSD_26240_LONG_5467,XAUUSD,LONG,2025-10-28 16:15:00+00:00,2025-10-28 16:45:00+00:00,2025-10-28 20:45:00+00:00,26242,1.5,0.87961020945998,1.2207324988409707,36.62197496522912,16,overlap,bos,internal,none,2,1,0.4762684124386269,2,-13.225034770514618,-2.5414186369958363,0.3909874826147413,4.073435326842851,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.6292250199382449
D,XAUUSD_26240_LONG_5467,XAUUSD,LONG,2025-10-28 16:15:00+00:00,2025-10-28 16:45:00+00:00,2025-10-28 20:45:00+00:00,26242,2.0,0.87961020945998,0.915549374130728,27.46648122392184,16,overlap,bos,internal,none,2,1,0.4762684124386269,2,-13.225034770514618,-2.5414186369958363,0.3909874826147413,4.073435326842851,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.6292250199382449
D,XAUUSD_26250_LONG_5470,XAUUSD,LONG,2025-10-28 18:45:00+00:00,2025-10-28 19:15:00+00:00,2025-10-28 19:30:00+00:00,26252,1.0,0.8868671666966125,-1.0,-30.0,1,new_york,bos,internal,none,2,1,0.8153310104528849,2,-13.120829576194733,-0.7520288548241758,-0.5662759242560612,5.152389540126206,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0,0.0,0.0,2.0,0.6845197940779475
D,XAUUSD_26250_LONG_5470,XAUUSD,LONG,2025-10-28 18:45:00+00:00,2025-10-28 19:15:00+00:00,2025-10-28 21:30:00+00:00,26252,1.5,0.8868671666966125,-1.0,-30.0,9,new_york,bos,internal,none,2,1,0.8153310104528849,2,-13.120829576194733,-0.7520288548241758,-0.5662759242560612,5.152389540126206,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0,0.0,0.0,2.0,0.6845197940779475
D,XAUUSD_26250_LONG_5470,XAUUSD,LONG,2025-10-28 18:45:00+00:00,2025-10-28 19:15:00+00:00,2025-10-28 23:15:00+00:00,26252,2.0,0.8868671666966125,-0.551397655545535,-16.54192966636605,16,new_york,bos,internal,none,2,1,0.8153310104528849,2,-13.120829576194733,-0.7520288548241758,-0.5662759242560612,5.152389540126206,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0,0.0,0.0,2.0,0.6845197940779475
