setup_id,bar_idx,time,reason
EURUSD_1152_SHORT_246,1160,2024-11-05 03:45:00+00:00,FVG_INVALIDATED
EURUSD_1153_SHORT_247,1154,2024-11-05 02:15:00+00:00,FVG_INVALIDATED
EURUSD_1168_SHORT_249,1175,2024-11-05 07:30:00+00:00,FVG_INVALIDATED
EURUSD_1172_SHORT_250,1174,2024-11-05 07:15:00+00:00,FVG_INVALIDATED
EURUSD_1181_LONG_252,1245,2024-11-06 01:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1210_LONG_256,1213,2024-11-05 17:00:00+00:00,FVG_INVALIDATED
EURUSD_1211_LONG_257,1213,2024-11-05 17:00:00+00:00,FVG_INVALIDATED
EURUSD_1213_SHORT_258,1214,2024-11-05 17:15:00+00:00,OPPOSITE_BOS
EURUSD_1218_LONG_259,1245,2024-11-06 01:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1219_LONG_260,1245,2024-11-06 01:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1222_LONG_261,1245,2024-11-06 01:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1224_LONG_262,1236,2024-11-05 22:45:00+00:00,FVG_INVALIDATED
EURUSD_1226_LONG_263,1228,2024-11-05 20:45:00+00:00,FVG_INVALIDATED
EURUSD_1229_SHORT_264,1230,2024-11-05 21:15:00+00:00,FVG_INVALIDATED
EURUSD_1236_SHORT_266,1240,2024-11-05 23:45:00+00:00,FVG_INVALIDATED
EURUSD_1246_SHORT_267,1247,2024-11-06 01:30:00+00:00,FVG_INVALIDATED
EURUSD_1248_LONG_268,1249,2024-11-06 02:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1250_SHORT_269,1314,2024-11-06 18:15:00+00:00,TTL_EXPIRED
EURUSD_1251_SHORT_270,1315,2024-11-06 18:30:00+00:00,TTL_EXPIRED
EURUSD_1258_SHORT_273,1322,2024-11-06 20:15:00+00:00,OPPOSITE_CHOCH
EURUSD_1264_SHORT_275,1265,2024-11-06 06:00:00+00:00,FVG_INVALIDATED
